room_id,day,shift,nurse_id,x
r6,7,early,n12,1
r7,7,early,n18,1
r8,7,early,n18,1
r0,7,late,n00,1
r1,7,late,n09,1
r2,7,late,n09,1
r3,7,late,n00,1
r4,7,late,n00,1
r5,7,late,n09,1
r6,7,late,n00,1
r7,7,late,n09,1
r8,7,late,n09,1
r0,7,night,n02,1
r1,7,night,n08,1
r2,7,night,n01,1
r3,7,night,n01,1
r4,7,night,n04,1
r5,7,night,n08,1
r6,7,night,n04,1
r7,7,night,n04,1
r8,7,night,n07,1
r0,8,early,n10,1
r1,8,early,n14,1
r2,8,early,n10,1
r3,8,early,n10,1
r4,8,early,n14,1
r5,8,early,n12,1
r6,8,early,n14,1
r7,8,early,n03,1
r8,8,early,n12,1
r0,8,late,n09,1
r1,8,late,n15,1
r2,8,late,n09,1
r3,8,late,n09,1
r4,8,late,n09,1
r5,8,late,n09,1
r6,8,late,n09,1
r7,8,late,n09,1
r8,8,late,n09,1
r0,8,night,n00,1
r1,8,night,n00,1
r2,8,night,n02,1
r3,8,night,n00,1
r4,8,night,n02,1
r5,8,night,n00,1
r6,8,night,n02,1
r7,8,night,n00,1
r8,8,night,n00,1
r0,9,early,n04,1
r1,9,early,n10,1
r2,9,early,n12,1
r3,9,early,n04,1
r4,9,early,n12,1
r7,9,early,n04,1
r8,9,early,n12,1
r0,9,late,n18,1
r1,9,late,n18,1
r2,9,late,n17,1
r3,9,late,n18,1
r4,9,late,n18,1
r7,9,late,n17,1
r8,9,late,n18,1
r0,9,night,n09,1
r1,9,night,n19,1
r2,9,night,n02,1
r3,9,night,n19,1
r4,9,night,n19,1
r7,9,night,n00,1
r8,9,night,n09,1
r0,10,early,n12,1
r2,10,early,n12,1
r3,10,early,n04,1
r4,10,early,n12,1
r7,10,early,n04,1
r8,10,early,n04,1
r0,10,late,n10,1
r2,10,late,n14,1
r3,10,late,n10,1
r4,10,late,n14,1
r7,10,late,n14,1
r8,10,late,n10,1
r0,10,night,n02,1
r2,10,night,n13,1
r3,10,night,n09,1
r4,10,night,n02,1
r7,10,night,n09,1
r8,10,night,n02,1
r0,11,early,n12,1
r2,11,early,n04,1
r3,11,early,n00,1
r4,11,early,n04,1
r8,11,early,n00,1
r0,11,late,n10,1
r2,11,late,n10,1
r3,11,late,n10,1
r4,11,late,n08,1
r8,11,late,n10,1
r0,11,night,n14,1
r2,11,night,n14,1
r3,11,night,n14,1
r4,11,night,n14,1
r8,11,night,n09,1
r0,12,early,n12,1
r2,12,early,n00,1
r3,12,early,n00,1
r4,12,early,n00,1
r8,12,early,n00,1
r0,12,late,n10,1
r2,12,late,n17,1
r3,12,late,n10,1
r4,12,late,n17,1
r8,12,late,n08,1
r0,12,night,n09,1
r2,12,night,n13,1
r3,12,night,n09,1
r4,12,night,n06,1
r8,12,night,n09,1
r0,13,early,n04,1
r2,13,early,n12,1
r0,13,late,n15,1
r2,13,late,n15,1
r0,13,night,n03,1
r2,13,night,n00,1
